"Block","Variety","yield","Nitrogen"
"I","Victory",111,"0.0"
"I","Victory",130,"0.2"
"I","Victory",157,"0.4"
"I","Victory",174,"0.6"
"I","Golden Rain",117,"0.0"
"I","Golden Rain",114,"0.2"
"I","Golden Rain",161,"0.4"
"I","Golden Rain",141,"0.6"
"I","Marvellous",105,"0.0"
"I","Marvellous",140,"0.2"
"I","Marvellous",118,"0.4"
"I","Marvellous",156,"0.6"
"II","Victory",61,"0.0"
"II","Victory",91,"0.2"
"II","Victory",97,"0.4"
"II","Victory",100,"0.6"
"II","Golden Rain",70,"0.0"
"II","Golden Rain",108,"0.2"
"II","Golden Rain",126,"0.4"
"II","Golden Rain",149,"0.6"
"II","Marvellous",96,"0.0"
"II","Marvellous",124,"0.2"
"II","Marvellous",121,"0.4"
"II","Marvellous",144,"0.6"
"III","Victory",68,"0.0"
"III","Victory",64,"0.2"
"III","Victory",112,"0.4"
"III","Victory",86,"0.6"
"III","Golden Rain",60,"0.0"
"III","Golden Rain",102,"0.2"
"III","Golden Rain",89,"0.4"
"III","Golden Rain",96,"0.6"
"III","Marvellous",89,"0.0"
"III","Marvellous",129,"0.2"
"III","Marvellous",132,"0.4"
"III","Marvellous",124,"0.6"
"IV","Victory",74,"0.0"
"IV","Victory",89,"0.2"
"IV","Victory",81,"0.4"
"IV","Victory",122,"0.6"
"IV","Golden Rain",64,"0.0"
"IV","Golden Rain",103,"0.2"
"IV","Golden Rain",132,"0.4"
"IV","Golden Rain",133,"0.6"
"IV","Marvellous",70,"0.0"
"IV","Marvellous",89,"0.2"
"IV","Marvellous",104,"0.4"
"IV","Marvellous",117,"0.6"
"V","Victory",62,"0.0"
"V","Victory",90,"0.2"
"V","Victory",100,"0.4"
"V","Victory",116,"0.6"
"V","Golden Rain",80,"0.0"
"V","Golden Rain",82,"0.2"
"V","Golden Rain",94,"0.4"
"V","Golden Rain",126,"0.6"
"V","Marvellous",63,"0.0"
"V","Marvellous",70,"0.2"
"V","Marvellous",109,"0.4"
"V","Marvellous",99,"0.6"
"VI","Victory",53,"0.0"
"VI","Victory",74,"0.2"
"VI","Victory",118,"0.4"
"VI","Victory",113,"0.6"
"VI","Golden Rain",89,"0.0"
"VI","Golden Rain",82,"0.2"
"VI","Golden Rain",86,"0.4"
"VI","Golden Rain",104,"0.6"
"VI","Marvellous",97,"0.0"
"VI","Marvellous",99,"0.2"
"VI","Marvellous",119,"0.4"
"VI","Marvellous",121,"0.6"
